쉼터명,쉼터 종류,쉼터 유형,주소,운영시간,휴무일,운영시작일,운영종료일,설치장소,면적,이용가능인원,냉난방기,추천날씨,실내/외,Wi-Fi,충전시설,공기정화기,decimalLatitude,decimalLongitude
KT 한백이동통신 발산파크점,기후동행쉼터,통신사 대리점,서울 강서구 공항대로 261 (마곡동),09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.55915323,126.836521
KT 한백이동통신 마곡점,기후동행쉼터,통신사 대리점,"서울 강서구 공항대로 168 747 110 (마곡동, 타워)",09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,,
KT 솔트네트워크_오류동역점,기후동행쉼터,통신사 대리점,서울 구로구 경인로20길 10 1층 KT매장 (오류동),09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.49531287,126.8436936
KT 솔트네트워크_개봉역프라자점,기후동행쉼터,통신사 대리점,"서울 구로구 경인로40길 47 105-106호 (개봉동, 개봉역프라자)",09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,,
KT 솔트네트워크_화곡중앙점,기후동행쉼터,통신사 대리점,서울 강서구 가로공원로76길 56 1층 KT (화곡동),09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.53453435,126.8378185
KT 화이트정보통신_파리공원점,기후동행쉼터,통신사 대리점,"서울 양천구 목동서로 61 우리은행건물 1층 107호 (목동, 부영그린타운1차앞)",09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.53637624,126.8795026
KT 연세컴퍼니_목동사거리점,기후동행쉼터,통신사 대리점,서울 강서구 등촌로 25 (화곡동),09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.53218958,126.8635378
KT 연세컴퍼니_문래역점,기후동행쉼터,통신사 대리점,"서울 영등포구 선유로 63 108호 문래역 (문래동6가, EEU동신타워)",09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.51965256,126.8890496
KT 연세컴퍼니_우장산역점,기후동행쉼터,통신사 대리점,"서울 강서구 강서로45길 9 1층 우장산역 (화곡동, 경신빌딩)",09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.54779837,126.8356404
KT 연세컴퍼니_신정네거리역점,기후동행쉼터,통신사 대리점,서울 양천구 중앙로 263 (신정동),09~19시,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,Y,Y,,37.51975021,126.8527622
