쉼터명,쉼터 종류,쉼터 유형,주소,운영시간,휴무일,운영시작일,운영종료일,설치장소,면적,이용가능인원,냉난방기,추천날씨,실내/외,Wi-Fi,충전시설,공기정화기,decimalLatitude,decimalLongitude
반포3동 경로당,한파쉼터,노인시설,서울특별시 서초구 신반포로23길 48,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,163,40,Y,"['한파', '눈']",실내,,,,37.50917278,127.0036765
반포4동 주민센터,한파쉼터,주민센터,서울특별시 서초구 사평대로28길 70,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,612,15,Y,"['한파', '눈']",실내,,,,37.49748589,127.0003286
반포4동 경로당,한파쉼터,노인시설,서울특별시 서초구 사평대로26길 9-14 ,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,49,10,Y,"['한파', '눈']",실내,,,,37.49962127,126.9994516
방배본동 주민센터,한파쉼터,주민센터,서울특별시 서초구 동광로19길 38,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,60,10,Y,"['한파', '눈']",실내,,,,37.49414867,126.988847
서초구립 기녕당 경로당,한파쉼터,노인시설,서울특별시 서초구 방배중앙로 159-6 ,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,110,15,Y,"['한파', '눈']",실내,,,,37.49334015,126.9859466
방배1동 주민센터,한파쉼터,주민센터,서울특별시 서초구 효령로29길 43,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,35,10,Y,"['한파', '눈']",실내,,,,37.48336166,126.9945139
방배1동제1경로당,한파쉼터,노인시설,서울특별시 서초구 서초대로 114-8 ,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,30,10,Y,"['한파', '눈']",실내,,,,37.48755334,126.9947018
방배2동 주민센터,한파쉼터,주민센터,서울특별시 서초구 청두곶길 36,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,499,30,Y,"['한파', '눈']",실내,,,,37.47977264,126.9855596
방배노인종합 복지관,한파쉼터,복지회관,서울특별시 서초구 방배천로 48,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,139.5,35,Y,"['한파', '눈']",실내,,,,37.48076743,126.9827869
방배2동 제2경로당,한파쉼터,노인시설,서울특별시 서초구 방배천로16길 5,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,185,25,Y,"['한파', '눈']",실내,,,,37.4822353,126.9830583
