쉼터명,쉼터 종류,쉼터 유형,주소,운영시간,휴무일,운영시작일,운영종료일,설치장소,면적,이용가능인원,냉난방기,추천날씨,실내/외,Wi-Fi,충전시설,공기정화기,decimalLatitude,decimalLongitude
회기구립경로당,한파쉼터,노인시설,서울특별시 동대문구 이문로3길 54,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,148.5,45,Y,"['한파', '눈']",실내,,,,37.59070731,127.0520447
아름경로당,한파쉼터,노인시설,서울특별시 동대문구 휘경로 78,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,245.66,74,Y,"['한파', '눈']",실내,,,,,
휘경어린이도서관,한파쉼터,기타,서울특별시 동대문구 망우로18가길 38,평일: 09:00:00 ~ 18:00:00,"일요일, 공휴일",2024-11-15,2025-03-15,,346.34,20,Y,"['한파', '눈']",실내,,,,37.58868383,127.0606078
수복 경로당,한파쉼터,노인시설,서울특별시 동대문구 망우로6길 24,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,182,55,Y,"['한파', '눈']",실내,,,,37.5866587,127.0555991
이문청소년독서실,한파쉼터,기타,서울특별시 동대문구 이문로9길 52,평일: 09:00:00 ~ 23:00:00,"일요일, 공휴일",2023-11-15,2024-03-15,,15,2,Y,"['한파', '눈']",실내,,,,37.59449933,127.056524
고황경로당,한파쉼터,노인시설,서울특별시 동대문구 이문로9길 52,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,118.38,35,Y,"['한파', '눈']",실내,,,,37.59449933,127.056524
이문체육문화센터,한파쉼터,기타,서울특별시 동대문구 한천로58길 81-49 ,평일: 06:00:00 ~ 22:00:00,"일요일, 공휴일",2023-11-15,2024-03-15,,379.66,1070,Y,"['한파', '눈']",실내,,,,37.60224436,127.0687022
신이문 경로당,한파쉼터,노인시설,서울특별시 동대문구 신이문로8길 32,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,227.16,68,Y,"['한파', '눈']",실내,,,,37.60150627,127.0633844
면목2동주민센터,한파쉼터,주민센터,서울특별시 중랑구 동일로101길 20-15 ,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,224,56,Y,"['한파', '눈']",실내,,,,37.58977313,127.0790295
면목2동구립서부경로당,한파쉼터,노인시설,서울특별시 중랑구 겸재로3길 50,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,123,50,Y,"['한파', '눈']",실내,,,,37.58816879,127.0769075
면목2동구립동부경로당,한파쉼터,노인시설,서울특별시 중랑구 겸재로27가길 18-4 ,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,58,18,Y,"['한파', '눈']",실내,,,,37.58824804,127.0829427
면목4동주민센터,한파쉼터,주민센터,서울특별시 중랑구 면목로 246,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,272,68,Y,"['한파', '눈']",실내,,,,37.57470151,127.0856085
샘터경로당,한파쉼터,노인시설,서울특별시 중랑구 면목로21길 28,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,191,57,Y,"['한파', '눈']",실내,,,,37.5726397,127.08227
대성경로당,한파쉼터,노인시설,서울특별시 중랑구 면목로31길 60,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,72,20,Y,"['한파', '눈']",실내,,,,37.57609536,127.0819069
용마폭포공원경로당,한파쉼터,노인시설,서울특별시 중랑구 용마산로 250-12 ,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,74,20,Y,"['한파', '눈']",실내,,,,37.57335201,127.0891221
면목5동주민센터,한파쉼터,주민센터,서울특별시 중랑구 동일로 619,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,704,176,Y,"['한파', '눈']",실내,,,,37.58575279,127.0794745
면목5동제1구립경로당,한파쉼터,노인시설,서울특별시 중랑구 동일로95길 29,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,81,26,Y,"['한파', '눈']",실내,,,,37.58453565,127.0779651
면목5동제2구립경로당,한파쉼터,노인시설,서울특별시 중랑구 동일로92길 17-7 ,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,93,31,Y,"['한파', '눈']",실내,,,,37.58386191,127.0808741
면목본동주민센터,한파쉼터,주민센터,서울특별시 중랑구 면목로 397,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,210,70,Y,"['한파', '눈']",실내,,,,37.58735561,127.0875552
안수경로당,한파쉼터,노인시설,서울특별시 중랑구 면목로63길 36,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,125,40,Y,"['한파', '눈']",실내,,,,37.58638216,127.0862425
면목본동경로당,한파쉼터,노인시설,서울특별시 중랑구 면목로64길 37-4 ,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,78,25,Y,"['한파', '눈']",실내,,,,37.58611811,127.0912272
섬들경로당,한파쉼터,노인시설,서울특별시 중랑구 면목로76길 42,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,131,43,Y,"['한파', '눈']",실내,,,,37.59007946,127.0903428
은행길경로당,한파쉼터,노인시설,서울특별시 중랑구 겸재로 212-7 ,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,86,26,Y,"['한파', '눈']",실내,,,,37.58884835,127.0915162
면목7동주민센터,한파쉼터,주민센터,서울특별시 중랑구 사가정로52길 13,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,376,94,Y,"['한파', '눈']",실내,,,,37.58008737,127.0874569
면목7동구립경로당,한파쉼터,노인시설,서울특별시 중랑구 사가정로50길 91,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,108,36,Y,"['한파', '눈']",실내,,,,37.57710827,127.0844469
용마경로당,한파쉼터,노인시설,서울특별시 중랑구 면목로40길 23,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,170,56,Y,"['한파', '눈']",실내,,,,37.5788457,127.0884476
"면목3,8동주민센터",한파쉼터,주민센터,서울특별시 중랑구 사가정로51길 48,평일: 09:00:00 ~ 21:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,60,15,Y,"['한파', '눈']",실내,,,,37.58295676,127.0880694
까치공원경로당,한파쉼터,노인시설,서울특별시 중랑구 사가정로49길 56,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,76,23,Y,"['한파', '눈']",실내,,,,37.58350827,127.086969
용마통합경로당,한파쉼터,노인시설,서울특별시 중랑구 용마산로94길 98,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,73,23,Y,"['한파', '눈']",실내,,,,37.58739985,127.1018199
용마산경로당,한파쉼터,노인시설,서울특별시 중랑구 용마산로 327,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,50,16,Y,"['한파', '눈']",실내,,,,37.58112839,127.0930995
상봉1동주민센터,한파쉼터,주민센터,서울특별시 중랑구 상봉중앙로1길 6,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,50,11,Y,"['한파', '눈']",실내,,,,37.59983752,127.0871613
구립중랑경로당,한파쉼터,노인시설,서울특별시 중랑구 봉화산로43길 9,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,128.49,35,Y,"['한파', '눈']",실내,,,,37.60369037,127.0873544
청운경로당,한파쉼터,노인시설,서울특별시 중랑구 봉화산로30길 69-3 ,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,179,40,Y,"['한파', '눈']",실내,,,,37.5990895,127.0853354
상봉1동구립경로당,한파쉼터,노인시설,서울특별시 중랑구 봉화산로42길 20,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,54,18,Y,"['한파', '눈']",실내,,,,37.60222101,127.0875149
서촌경로당,한파쉼터,노인시설,서울특별시 중랑구 신내로7가길 71,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,167,89,Y,"['한파', '눈']",실내,,,,37.60218319,127.0920986
상봉2동주민센터,한파쉼터,주민센터,서울특별시 중랑구 동일로114길 10,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,232,31,Y,"['한파', '눈']",실내,,,,37.59289195,127.0808518
상봉2동구립경로당,한파쉼터,노인시설,서울특별시 중랑구 동일로112길 27,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,102,31,Y,"['한파', '눈']",실내,,,,37.5931312,127.0824887
봉황경로당,한파쉼터,노인시설,서울특별시 중랑구 봉우재로33길 55-10 ,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,94,50,Y,"['한파', '눈']",실내,,,,37.59526059,127.0882398
중화1동주민센터,한파쉼터,주민센터,서울특별시 중랑구 동일로134길 17,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,200,50,Y,"['한파', '눈']",실내,,,,37.60117128,127.080661
중화1동통합경로당,한파쉼터,노인시설,서울특별시 중랑구 동일로138길 28,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,105,59,Y,"['한파', '눈']",실내,,,,37.60330431,127.0811539
봉화경로당,한파쉼터,노인시설,서울특별시 중랑구 봉화산로3길 40-5 ,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,170,35,Y,"['한파', '눈']",실내,,,,37.60352884,127.0760001
학구경로당,한파쉼터,노인시설,서울특별시 중랑구 동일로123길 69-5 ,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,155,56,Y,"['한파', '눈']",실내,,,,37.5983121,127.0761574
백학경로당,한파쉼터,노인시설,서울특별시 중랑구 중랑천로20길 6-14 ,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,73,51,Y,"['한파', '눈']",실내,,,,37.5957492,127.0727829
묵1동주민센터,한파쉼터,주민센터,서울특별시 중랑구 공릉로2가길 5,평일: 09:00:00 ~ 18:00:00,"토요일, 일요일, 공휴일",2024-11-15,2025-03-15,,50,15,Y,"['한파', '눈']",실내,,,,37.61241458,127.0784793
