쉼터명,쉼터 종류,쉼터 유형,주소,운영시간,휴무일,운영시작일,운영종료일,설치장소,면적,이용가능인원,냉난방기,추천날씨,실내/외,Wi-Fi,충전시설,공기정화기,decimalLatitude,decimalLongitude
신월보건지소,무더위쉼터,기타,서울특별시 양천구 남부순환로 407,,,2024/06/11 0:00,2024/09/30 0:00,,296.45,30,Y,"['폭염', '비']",실내,,,,37.53133706,126.8318233
신월1동주민센터,무더위쉼터,주민센터,서울특별시 양천구 곰달래로1길 38,,,2024/05/15 0:00,2024/10/15 0:00,,241,60,Y,"['폭염', '비']",실내,,,,37.53280626,126.8315273
신대(구립)경로당,무더위쉼터,경로당,서울특별시 양천구 곰달래로1길 37,,,2024/05/15 0:00,2024/10/15 0:00,,177.66,44,Y,"['폭염', '비']",실내,,,,37.5326643,126.8313013
곰달래(구립)경로당,무더위쉼터,경로당,서울특별시 양천구 남부순환로63길 16-4 ,,,2024/05/15 0:00,2024/10/15 0:00,,50,12,Y,"['폭염', '비']",실내,,,,37.52860985,126.8347819
신월2동주민센터,무더위쉼터,주민센터,서울특별시 양천구 중앙로53길 47,,,2024/05/15 0:00,2024/10/15 0:00,,544,100,Y,"['폭염', '비']",실내,,,,37.52497426,126.8445695
장수경로당,무더위쉼터,경로당,서울특별시 금천구 독산로50길 57-1 ,,,2024/05/20 0:00,2024/09/30 0:00,,333,40,Y,"['폭염', '비']",실내,,,,37.46282111,126.9076121
신흥경로당,무더위쉼터,경로당,서울특별시 금천구 금하로23길 155,,,2024/05/20 0:00,2024/09/30 0:00,,148,40,Y,"['폭염', '비']",실내,,,,37.45701307,126.9073426
시흥4동주민센터,무더위쉼터,주민센터,서울특별시 금천구 독산로36길 14,,,2024/05/20 0:00,2024/09/30 0:00,,30,50,Y,"['폭염', '비']",실내,,,,37.45897879,126.9061844
새재미마을활력소,무더위쉼터,기타,서울특별시 금천구 독산로50길 105,,,2024/05/20 0:00,2024/09/30 0:00,,150,40,Y,"['폭염', '비']",실내,,,,37.4623033,126.9101866
시흥5동임시어르신쉼터,무더위쉼터,기타,서울특별시 금천구 금하로 700,,,2024/08/01 0:00,2024/09/30 0:00,,20,15,Y,"['폭염', '비']",실내,,,,37.45138602,126.9076323
새마을금고금천남부,무더위쉼터,은행,서울특별시 금천구 금하로 724-1 ,,,2024/06/12 0:00,2024/09/30 0:00,,7,10,Y,"['폭염', '비']",실내,,,,37.45041334,126.9101527
공동체경제통합지원센터(1관),무더위쉼터,기타,서울특별시 금천구 은행나무로 45,,,2024/05/20 0:00,2024/09/30 0:00,,119,29,Y,"['폭염', '비']",실내,,,,37.45105155,126.9075068
금천마을활력소어울샘(2층어울샘홀),무더위쉼터,기타,서울특별시 금천구 탑골로 22,,,2024/05/20 0:00,2024/09/30 0:00,,150,30,Y,"['폭염', '비']",실내,,,,37.45180932,126.9116493
읍내경로당,무더위쉼터,경로당,서울특별시 금천구 은행나무로10길 12-1 ,,,2024/05/20 0:00,2024/09/30 0:00,,95,30,Y,"['폭염', '비']",실내,,,,37.45039694,126.90633
탑동경로당,무더위쉼터,경로당,서울특별시 금천구 금하로23가길 14-1 ,,,2024/05/20 0:00,2024/09/30 0:00,,118.8,20,Y,"['폭염', '비']",실내,,,,37.45150076,126.9095462
시흥5동주민센터,무더위쉼터,주민센터,서울특별시 금천구 금하로24길 6,,,2024/05/20 0:00,2024/09/30 0:00,,711,30,Y,"['폭염', '비']",실내,,,,37.4507346,126.9083415
구립영등포본동경로당,무더위쉼터,경로당,서울특별시 영등포구 영신로9나길 7,,,2024/05/20 0:00,2024/09/30 0:00,,290,50,Y,"['폭염', '비']",실내,,,,37.51288977,126.9066121
영등포어르신복지센터,무더위쉼터,기타,서울특별시 영등포구 도영로22길 36,,,2024/05/20 0:00,2024/09/30 0:00,,638.13,10,Y,"['폭염', '비']",실내,,,,37.51015661,126.9032928
청소년문화의집작은도서관,무더위쉼터,도서관,서울특별시 영등포구 영등포로64길 15,,,2024/05/20 0:00,2024/09/30 0:00,,50,8,Y,"['폭염', '비']",실내,,,,37.51365776,126.9170779
영등포본동작은도서관,무더위쉼터,도서관,서울특별시 영등포구 신길로61길 17,,,2024/05/20 0:00,2024/09/30 0:00,,65,20,Y,"['폭염', '비']",실내,,,,37.51466633,126.9093394
영등포본동주민센터,무더위쉼터,주민센터,서울특별시 영등포구 신길로61길 17,,,2024/05/20 0:00,2024/09/30 0:00,,40,13,Y,"['폭염', '비']",실내,,,,37.51466633,126.9093394
구립신광경로당,무더위쉼터,경로당,서울특별시 영등포구 신길로60길 31-2 ,,,2024/05/20 0:00,2024/09/30 0:00,,195,50,Y,"['폭염', '비']",실내,,,,37.51350665,126.9137893
구립방학경로당,무더위쉼터,경로당,서울특별시 영등포구 영등포로62라길 2-12 ,,,2024/05/20 0:00,2024/09/30 0:00,,257,25,Y,"['폭염', '비']",실내,,,,37.51662248,126.9153872
시립영등포장애인복지관,무더위쉼터,복지관,서울특별시 영등포구 버드나루로 22,,,2024/05/20 0:00,2024/09/30 0:00,,69.7,15,Y,"['폭염', '비']",실내,,,,37.52085827,126.9129017
영등포동작은도서관,무더위쉼터,도서관,서울특별시 영등포구 국회대로44길 4,,,2024/05/20 0:00,2024/09/30 0:00,,50,20,Y,"['폭염', '비']",실내,,,,37.52538799,126.9036383
영등포동주민센터,무더위쉼터,주민센터,서울특별시 영등포구 양산로 232,,,2024/05/20 0:00,2024/09/30 0:00,,985.5,30,Y,"['폭염', '비']",실내,,,,37.52224505,126.9088958
구립영중경로당,무더위쉼터,경로당,서울특별시 영등포구 영중로27길 3,,,2024/05/20 0:00,2024/09/30 0:00,,102,45,Y,"['폭염', '비']",실내,,,,37.52408884,126.9047555
여의동작은도서관,무더위쉼터,도서관,서울특별시 영등포구 국제금융로 124,,,2024/05/20 0:00,2024/09/30 0:00,,62,10,Y,"['폭염', '비']",실내,,,,37.51769391,126.934614
전농1동경로당,무더위쉼터,경로당,서울특별시 동대문구 전농로27길 81,,,2024/06/01 0:00,2024/09/30 0:00,,167.58,50,Y,"['폭염', '비']",실내,,,,37.57883038,127.0521336
래미안크레시티3단지아파트경로당,무더위쉼터,경로당,서울특별시 동대문구 사가정로 65,,,2024/06/01 0:00,2024/09/30 0:00,,80,24,Y,"['폭염', '비']",실내,,,,37.57550604,127.0496959
전농2동주민센터,무더위쉼터,주민센터,서울특별시 동대문구 사가정로 137,,,2024/06/01 0:00,2024/09/30 0:00,,190,76,Y,"['폭염', '비']",실내,,,,37.57809107,127.0600078
아름숲아파트제2경로당,무더위쉼터,경로당,서울특별시 동대문구 전농로16길 51,,,2024/06/01 0:00,2024/09/30 0:00,,112.65,34,Y,"['폭염', '비']",실내,,,,37.57833421,127.0604383
SK아파트제2경로당,무더위쉼터,경로당,서울특별시 동대문구 전농로10길 111,,,2024/06/01 0:00,2024/09/30 0:00,,92,27,Y,"['폭염', '비']",실내,,,,37.57753216,127.0631558
삼성아파트제2경로당,무더위쉼터,경로당,서울특별시 동대문구 전농로 190,,,2024/06/01 0:00,2024/09/30 0:00,,37.8,11,Y,"['폭염', '비']",실내,,,,37.5813298,127.0555607
성너머경로당,무더위쉼터,경로당,서울특별시 동대문구 사가정로 191-1 ,,,2024/06/01 0:00,2024/09/30 0:00,,49.5,15,Y,"['폭염', '비']",실내,,,,37.57979215,127.0655888
대우아파트제2경로당,무더위쉼터,경로당,서울특별시 동대문구 답십리로41길 33,,,2024/06/01 0:00,2024/09/30 0:00,,36.2,13,Y,"['폭염', '비']",실내,,,,37.57324727,127.0535672
답십리1동주민센터,무더위쉼터,주민센터,서울특별시 동대문구 사가정로 30,,,2024/06/01 0:00,2024/09/30 0:00,,709,90,Y,"['폭염', '비']",실내,,,,37.57182309,127.0512749
쌈지경로당,무더위쉼터,경로당,서울특별시 동대문구 천호대로75길 57,,,2024/06/01 0:00,2024/09/30 0:00,,70.25,21,Y,"['폭염', '비']",실내,,,,37.56811598,127.0561572
답십리3동경로당,무더위쉼터,경로당,서울특별시 동대문구 황물로 30,,,2024/06/01 0:00,2024/09/30 0:00,,229.42,71,Y,"['폭염', '비']",실내,,,,37.57415402,127.0451904
중산경로당,무더위쉼터,경로당,서울특별시 동대문구 답십리로48길 54,,,2024/06/01 0:00,2024/09/30 0:00,,247.9,80,Y,"['폭염', '비']",실내,,,,37.57035479,127.057612
청솔우성아파트제2경로당,무더위쉼터,경로당,서울특별시 동대문구 답십리로57길 53,,,2024/06/01 0:00,2024/09/30 0:00,,77,25,Y,"['폭염', '비']",실내,,,,37.57486157,127.0611822
동아아파트제2경로당,무더위쉼터,경로당,서울특별시 동대문구 한천로11길 10,,,2024/06/01 0:00,2024/09/30 0:00,,70,21,Y,"['폭염', '비']",실내,,,,37.56861948,127.0610056
답십리사랑경로당,무더위쉼터,경로당,서울특별시 동대문구 답십리로60길 70,,,2024/06/01 0:00,2024/09/30 0:00,,36.3,11,Y,"['폭염', '비']",실내,,,,37.57007853,127.0634376
답십리두산아파트제2경로당,무더위쉼터,경로당,서울특별시 동대문구 답십리로56길 21-1 ,,,2024/06/01 0:00,2024/09/30 0:00,,100.5,30,Y,"['폭염', '비']",실내,,,,37.5697768,127.0592488
답십리2동주민센터,무더위쉼터,주민센터,서울특별시 동대문구 한천로11길 18,,,2024/06/01 0:00,2024/09/30 0:00,,60,18,Y,"['폭염', '비']",실내,,,,37.56739777,127.0612821
장안1동주민센터,무더위쉼터,주민센터,서울특별시 동대문구 장한로17길 36,,,2024/06/01 0:00,2024/09/30 0:00,,385,30,Y,"['폭염', '비']",실내,,,,,
샛별경로당,무더위쉼터,경로당,서울특별시 동대문구 장한로17길 20,,,2024/06/01 0:00,2024/09/30 0:00,,140.04,42,Y,"['폭염', '비']",실내,,,,37.56784857,127.0674928
