쉼터명,쉼터 종류,쉼터 유형,주소,운영시간,휴무일,운영시작일,운영종료일,설치장소,면적,이용가능인원,냉난방기,추천날씨,실내/외,Wi-Fi,충전시설,공기정화기,decimalLatitude,decimalLongitude
동작영어마루도서관,쿨하다 캠페인,도서관,서울특별시 동작구 장승배기로 16길 98(노량진 2동 225-161),"평일 : 09:00~18:00, 주말 : 09:00~17:00","매주 월요일, 법정공휴일",,,,,,Y,"['폭염', '비']",실내,Y,Y,,37.50920443,126.9434315
사당솔밭도서관,쿨하다 캠페인,도서관,서울특별시 동작구 솔밭로 86(사당5동 708-1188),"평일 : 09:00~22:00, 주말 : 09:00~17:00","매주 월요일, 법정공휴일",,,,,,Y,"['폭염', '비']",실내,Y,Y,,37.48405061,126.9673661
약수도서관,쿨하다 캠페인,도서관,서울특별시 동작구 양녕로22바길 64(상도4동 211-77),"평일 : 09:00~18:00, 주말 : 09:00∼17:00","매주 월요일, 법정공휴일",,,,,,Y,"['폭염', '비']",실내,Y,Y,,37.49788488,126.9474555
김영삼도서관,쿨하다 캠페인,도서관,서울특별시 동작구 매봉로 1(상도1동 611),"평일 : 09:00~22:00, 주말 : 09:00~17:00","매주 월요일, 법정공휴일",,,,,,Y,"['폭염', '비']",실내,Y,Y,,37.50547361,126.9499672
까망돌도서관,쿨하다 캠페인,도서관,서울특별시 동작구 서달로 129(흑석동 340-1),"평일 : 09:00~21:00, 주말 : 09:00∼17:00","매주 월요일, 법정공휴일",,,,,,Y,"['폭염', '비']",실내,Y,Y,,37.50512021,126.960611
신대방누리도서관,쿨하다 캠페인,도서관,서울특별시 동작구 신대방1다길 19(신대방동 686-78),"평일 : 09:00~21:00, 주말 : 09:00∼17:00","매주 월요일, 법정공휴일",,,,,,Y,"['폭염', '비']",실내,Y,Y,,37.48606517,126.9058854
소금나루도서관,쿨하다 캠페인,도서관,서울특별시 숭문길 72,"평일 : 09:00~22:00, 주말 : 09:00~20:00","매주 금요일, 법정공휴일",,,,,,Y,"['폭염', '비']",실내,Y,Y,,37.54957866,126.9461167
마포구립서강도서관,쿨하다 캠페인,도서관,서울특별시 마포구 독막로 165,"평일 : 09:00~22:00, 주말 : 09:00~20:00",매주 화요일 및 법정공휴일,,,,,,Y,"['폭염', '비']",실내,Y,Y,,37.54773473,126.9320618
마포중앙도서관,쿨하다 캠페인,도서관,서울특별시 마포구 성산로 128(성산동),"평일 : 09:00~22:00, 주말 : 09:00~20:00",매주 월요일 및 법정공휴일,,,,,,Y,"['폭염', '비']",실내,Y,Y,,37.56384412,126.9080036
마포푸르메어린이도서관,쿨하다 캠페인,도서관,서울특별시 마포구 월드컵북로 494 푸르메재단 넥슨어린이재활병원 1층,"평일 : 09:00~18:00, 주말 : 토요일:10:00~16:00",매주 일요일 및 법정공휴일,,,,,,Y,"['폭염', '비']",실내,Y,Y,,37.58464743,126.8805203
서대문구립이진아기념도서관,쿨하다 캠페인,도서관,서울특별시 서대문구 독립문공원길 80,"평일 : 09:00~20:00, 주말 : 09:00~17:00",매주 월요일 및 법정 공휴일,,,,,,Y,"['폭염', '비']",실내,Y,Y,,37.57295426,126.955549
홍은도담도서관,쿨하다 캠페인,도서관,서울특별시 서대문구 홍은중앙로 129,"평일 : 09:00~20:00, 주말 : 09:00~17:00",매주 금요일 및 법정 공휴일,,,,,,Y,"['폭염', '비']",실내,Y,Y,,37.60177255,126.9489544
서초구립내곡도서관,쿨하다 캠페인,도서관,서울특별시 서초구 청계산로7길 9-20,"평일 : 09:00~22:00, 주말 : 09:00~18:00","매주 월요일, 법정 공휴일, 임시 공휴일",,,,,,Y,"['폭염', '비']",실내,Y,Y,,37.45200325,127.0544446
방배도서관,쿨하다 캠페인,도서관,서울특별시 서초구 방배로 40,"평일 : 09:00~21:00, 주말 : 09:00~18:00","매주 월요일, 법정 공휴일, 임시 공휴일",,,,,,Y,"['폭염', '비']",실내,Y,Y,,37.47843876,126.9999966
서이도서관,쿨하다 캠페인,도서관,서울특별시 서초구 서초대로70길 51,"평일 : 09:00~21:00, 주말 : 09:00~18:00","매주 월요일, 법정 공휴일, 임시 공휴일",,,,,,Y,"['폭염', '비']",실내,Y,Y,,37.49206947,127.0249478
서초구립반포도서관,쿨하다 캠페인,도서관,서울특별시 서초구 고무래로 34,"평일 : 09:00~22:00, 주말 : 09:00~18:00","매주 월요일, 법정 공휴일, 임시 공휴일",,,,,,Y,"['폭염', '비']",실내,Y,Y,,37.50248707,127.0125134
서초그림책도서관,쿨하다 캠페인,도서관,서울특별시 서초구 명달로 150,"평일 : 09:00~21:00, 주말 : 09:00~18:00","매주 월요일, 법정 공휴일, 임시 공휴일",,,,,,Y,"['폭염', '비']",실내,Y,Y,,37.49061326,127.0051025
잠원도서관,쿨하다 캠페인,도서관,서울특별시 서초구 나루터로 38,"평일 : 09:00~21:00, 주말 : 09:00~18:00","매주 월요일, 법정 공휴일, 임시 공휴일",,,,,,Y,"['폭염', '비']",실내,Y,Y,,37.51496808,127.0139821
