쉼터명,쉼터 종류,쉼터 유형,주소,운영시간,휴무일,운영시작일,운영종료일,설치장소,면적,이용가능인원,냉난방기,추천날씨,실내/외,Wi-Fi,충전시설,공기정화기,decimalLatitude,decimalLongitude
CU 서초센트럴점,기후동행쉼터,편의점,서초구 반포대로18길 36 (서초동) 서초센트럴아이파크 상가 1층 CU,24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.48720953,127.0114685
CU 역삼점,기후동행쉼터,편의점,"강남구 테헤란로51길 10, (역삼동)",24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.50477551,127.0469745
CU BGF사옥점,기후동행쉼터,편의점,강남구 테헤란로63길 9,24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.50578758,127.0501113
CU 논현역드림점,기후동행쉼터,편의점,"강남구 강남대로 570, (논현동)",24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.51284419,127.0209553
CU 타워팰리스점,기후동행쉼터,편의점,"강남구 언주로30길 56, 상가시설내 104(도곡동, 타워팰리스)",24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.48806952,127.0534832
CU 문정훼밀리점,기후동행쉼터,편의점,송파구 중대로 60-6 (문정동),24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.49124443,127.1156369
CU 마천중앙점,기후동행쉼터,편의점,송파구 마천로43길 32-1,24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.49931446,127.1502334
CU 마천파크점,기후동행쉼터,편의점,송파구 성내천로47길 23 경진빌딩 (마천동) 경진빌딩,24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.49515297,127.1577826
CU 성내시네마점,기후동행쉼터,편의점,강동구 올림픽로62길 23 1층 CU,24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.53655663,127.1241456
GS25 GS25건국점,기후동행쉼터,편의점,서울 광진구 광나루로24길 14,24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.54565033,127.0762488
GS25 GS25월계성북역점,기후동행쉼터,편의점,노원구 석계로 103(월계1동 410-7),24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.62283769,127.0607123
GS25 GS25홍은중앙로점,기후동행쉼터,편의점,"서대문구 홍은중앙로 115, 1층 (홍은동 9-307)",24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.60074615,126.9487584
GS25 GS25목동대일점,기후동행쉼터,편의점,"양천구 목동중앙남로11길 26, 1층 (목3동 719-27)",24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.53936096,126.8645215
GS25 GS25발산행복점,기후동행쉼터,편의점,"강서구 강서로50길 16, 1층 (내발산동 665)",24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.55515397,126.8381455
GS25 GS25발산사랑점,기후동행쉼터,편의점,"강서구 우장산로2길 21, 1층 (내발산동 670-50)",24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.55379595,126.837663
GS25 GS25염창행복점,기후동행쉼터,편의점,"강서구 공항대로81길 35, 1층 103호 (염창동 262, 염창투웨니퍼스트)",24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.54876241,126.8759807
GS25 GS25강서퍼스트점,기후동행쉼터,편의점,"강서구 마곡중앙2로 35, 상가 105호, 106호 (마곡동 800-15)",24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.55796503,126.8306618
GS25 GS25고척사랑점,기후동행쉼터,편의점,"구로구 경인로47다길 8, 1층 101호 (고척1동 46-21)",24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.50342031,126.864178
GS25 GS25당산스타점,기후동행쉼터,편의점,"영등포구 영신로 219, 106호(당산동4가 1-2, 코오롱스타폴리스)",24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.52738678,126.9028781
GS25 GS25대림그랜드점,기후동행쉼터,편의점,"영등포구 대림로 198, 101호 (대림동 689-1, 대경빌딩)",24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.49850189,126.8986265
GS25 GS25더관악점,기후동행쉼터,편의점,"관악구 남부순환로 1599-3, 1층 (신림동 1433-51)",24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.48448501,126.9282692
GS25 GS25개포럭키점,기후동행쉼터,편의점,강남구 개포로20길 12(개포4동 1232),24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.47793772,127.0472606
GS25 GS25도곡신호점,기후동행쉼터,편의점,"강남구 도곡로 184, 1층 101호 (도곡1동 544, 신호빌딩)",24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.49171348,127.0397489
GS25 GS25DXLAB점,기후동행쉼터,편의점,"강남구 테헤란로 223, 1층 101호 (역삼동 677-25, 큰길타워빌딩)",24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.50240018,127.0406729
GS25 GS25역삼홍인점,기후동행쉼터,편의점,"강남구 봉은사로30길 43, 지하1층 (역삼동 666-15)",24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.50476109,127.0362416
GS25 GS25파르나스타워점,기후동행쉼터,편의점,"강남구 테헤란로 521, 1층 (T1) (삼성동 159-8)",24시간,,,,,,,Y,"['폭염', '비', '한파', '눈']",실내,,,,37.50919169,127.0608069
